Reston Pkwy & Spectrum Dr,480,15
Reston Regional Library,435,15
Reston Station,440,35
Reston Town Center Transit Station,438,17
Reston YMCA,446,15
Rhode Island & Connecticut Ave NW,136,23
Rhode Island Ave & V St NE,250,19
Rhode Island Ave Metro,322,19
Ripley & Bonifant St,295,15
River Rd & Landy Ln,326,19
Rockville Metro East,318,13
Rockville Metro West,327,19
Rockville Pike & Old Georgetown Rd,514,15
Rolfe St & 9th St S,323,11
Rosslyn Metro / Wilson Blvd & Ft Myer Dr,128,19
Royal & Wilkes St,396,15
S Arlington Mill Dr & Campbell Ave,223,15
S Four Mile Run & Walter Reed Dr,222,11
S Four Mile Run Dr & S Shirlington Rd,220,11
S George Mason Dr & 13th St S,227,11
S George Mason Dr & Four Mile Run,243,11
S Glebe & Potomac Ave,11,11
S Joyce & 16th St S,352,15
S Joyce & Army Navy Dr,7,15
S Kenmore & 24th St S,224,11
S Oakland St & Columbia Pike,221,11
S Stafford & 34th St S,244,11
S Troy St & 26th St S,219,11
S Walter Reed Dr & 8th St S,368,15
Saint Asaph & Madison St,380,15
Saint Asaph St & Pendleton  St,191,15
Shady Grove Hospital,316,19
Shady Grove Metro East,472,19
Shady Grove Metro West,325,19
Shirlington Transit Center / S Quincy & Randolph St,324,15
Silver Spring Metro/Colesville Rd & Wayne Ave,269,19
Sligo Ave & Carroll Ln,452,15
Smithsonian-National Mall / Jefferson Dr & 12th St SW,169,35
South Capitol & Atlantic St SW,392,19
Spring Hill Metro,424,15
Spring St & Second Ave,350,15
Sunset Hills & Old Reston Ave,437,15
Sunset Hills Rd & Discovery Square,442,15
Sunset Hills Rd & Isaac Newton Square,447,11
TJ Cmty Ctr / 2nd St & S Old Glebe Rd,313,15
Taft St & E Gude Dr,292,15
Takoma Metro,321,19
Takoma Park Rec Center,460,15
Temporary Rd & Old Reston Ave,445,15
Tenleytown / Wisconsin Ave & Albemarle St NW,80,15
Thomas Circle,137,33
Towers Crescent Dr & Tysons One Pl,457,11
Town Center Pkwy & Bowman Towne Dr,434,15
Town Center Pkwy & Sunset Hills Rd,468,11
Traville Gateway Dr & Gudelsky Dr,262,19
Twinbrook Metro,511,14
Tysons Corner Station,428,11
Tysons One Pl & Chain Bridge Rd,427,11
Tysons West Transit Center,432,11
US Dept of State / Virginia Ave & 21st St NW,74,15
USDA / 12th & Independence Ave SW,71,39
Union Market/6th St & Neal Pl NE,353,23
Utah St & 11th St N ,201,11
Van Ness Metro / UDC,60,15
Vermont Ave & I St NW,419,25
Veterans Pl & Pershing Dr ,317,11
Virginia Ave & 25th St NW,482,19
Virginia Square Metro / N Monroe St & 9th St N,165,19
Walter Reed Community Center / Walter Reed Dr & 16th St S,212,11
Ward Circle / American University,63,15
Washington & Independence Ave SW/HHS,252,31
Washington Adventist U / Flower Ave & Division St,345,15
Washington Blvd & 10th St N,167,15
Washington Blvd & 7th St N,175,11
Washington Blvd & N Frederick St,384,11
Washington Blvd & Walter Reed Dr ,312,15
Washington-Lee High School / N Stafford St & Generals Way,475,15
Westover Library / Washington Blvd & N McKinley Rd,476,15
Westpark & Jones Branch Dr,429,11
Westpark & Park Run Dr,431,11
Westpark Dr & Leesburg Pike,425,11
Wheaton Metro/Georgia Ave & Reedie Dr,462,19
White Flint Metro,512,19
Wilson Blvd & Franklin Rd,138,11
Wilson Blvd & N Edgewood St,134,15
Wilson Blvd & N Illinois St ,359,15
Wilson Blvd & N Quincy St,181,15
Wilson Blvd & N Troy St,486,15
Wilson Blvd & N Uhle St,130,15
Windham Ln & Amherst Ave,466,15
Wisconsin Ave & Brandywine St NW,420,25
Wisconsin Ave & Ingomar St NW,385,19
Wisconsin Ave & Newark St NW,64,19
Wisconsin Ave & O St NW,226,19
Woodglen Dr & Executive Blvd,515,16
Woodmont Ave & Strathmore St,389,11
Yuma St & Tenley Circle NW,376,19
